,user_id_hashed,#business,#sports,#fun_facts,#international,#animals,#national,#health_n_fitness,#entertainment,#fashion,#automotive,#food,#technology,#travel,#games,#music,n/a
2139,WCH8Ezwer1S5UCo7wYULxDbSme18XBWe72lLeQ==,"[0, 0]","[1.0, 706.0]","[1.0, 687.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 645.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
2140,WdGKUBnpYVsazEKmcrmgHMWKbcGC9yEikSfvng==,"[0, 0]","[0, 0]","[0, 0]","[1.0, 145.0]","[0, 0]","[2.0, 3522.0]","[2.0, 136680.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[3.0, 3813.0]"
2141,vFzfXIMBUCBaaxSBTU+5SwLumasj6wTKs8BbZg==,"[0.5, 2381.5]","[0, 0]","[0, 0]","[6.0, 7626.0]","[4.0, 13731.0]","[14.5, 149108.5]","[3.0, 4265.0]","[0, 0]","[0, 0]","[0.5, 1054.5]","[0, 0]","[4.5, 39157.5]","[3.0, 3037.0]","[1.0, 722.0]","[0, 0]","[5.0, 14860.0]"
2142,5/Fefx/wE1Ylf5/+H90x7P2KeaMOZ7iF/VMXYg==,"[1.0, 26459.0]","[5.0, 119158.0]","[1.0, 1191.0]","[0, 0]","[0, 0]","[2.0, 169204.0]","[1.0, 36685.0]","[1.0, 443.0]","[1.0, 32768.0]","[0, 0]","[0, 0]","[1.0, 1814113.0]","[0, 0]","[5.0, 58216.0]","[0, 0]","[2.0, 27230.0]"
2143,pAO80+RPlUq2Z/NFmtoBS6IaOuNW2+zx0NLwAg==,"[0, 0]","[0, 0]","[1.0, 4936.0]","[1.0, 4605.0]","[0, 0]","[5.0, 75954.0]","[0, 0]","[4.0, 39531.0]","[0, 0]","[0, 0]","[2.0, 1362.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[5.0, 45036.0]"
2144,/FIl9iPirRJu/t9GH4SeXwuUau2eye2ck6HNfQ==,"[15.5, 1765399.5]","[7.0, 463914.0]","[4.0, 151993.0]","[27.5, 1892016.0]","[10.5, 748833.0]","[110.0, 8437164.5]","[41.0, 1998775.0]","[62.5, 3728312.5]","[93.0, 9529423.0]","[55.5, 2431044.5]","[30.0, 2373567.0]","[44.5, 3084262.0]","[17.0, 623756.0]","[65.0, 6695755.0]","[2.0, 48117.0]","[45.5, 3084325.0]"
2145,ByteN97zQzlPPVldfc+Ds0VGzZgyV+BKouMaUg==,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 2744.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 885.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
2146,nFbjF3zZtl5HJh6yMMj2gYlPCJlWTSrjmbzVfA==,"[69.0, 104165.5]","[123.5, 301615.0]","[11.5, 32402.0]","[15.0, 13446.5]","[13.0, 34466.0]","[37.0, 59477.0]","[84.5, 224536.0]","[0, 0]","[0, 0]","[57.5, 82903.5]","[11.0, 13621.0]","[49.0, 101549.5]","[4.0, 2376.0]","[36.0, 72724.0]","[0, 0]","[82.5, 217302.0]"
2147,FZ49LSNlKqyEnFk+qtxpKOCX6M/aXSUUu1gbfQ==,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 562.0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 2004.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
2148,EOkhyJWGtvAPcW79NWT+e+70qLxvk4SlPAKKaw==,"[0, 0]","[3.0, 328159.0]","[0, 0]","[1.0, 3748.0]","[0, 0]","[5.0, 57350.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
2149,hER/Tp1Wtpa8dBf8Uth5FpDVf/9KVN0TeogjmQ==,"[1.0, 188.0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 1012.0]","[4.0, 4342.0]","[1.0, 787.0]","[2.0, 756.0]","[0, 0]","[0, 0]","[2.0, 62463.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[2.0, 922.0]"
2150,9x+V/oyRPQpBIUKlOsbrPTdg2Anw3uNMhaW/Tw==,"[15.5, 224166.0]","[66.0, 1227807.0]","[11.0, 117858.0]","[23.0, 235416.0]","[17.0, 500418.0]","[45.5, 1814668.0]","[21.5, 393274.0]","[91.0, 1493988.5]","[66.0, 1461496.0]","[26.0, 296366.5]","[18.0, 217279.0]","[18.5, 345118.0]","[11.0, 237689.0]","[31.0, 1163140.0]","[0, 0]","[45.0, 1828447.0]"
2151,aw0yN1gIvqsc1m5RWxT+7NaW752hWyjZt/OcsQ==,"[0, 0]","[0, 0]","[0, 0]","[1.0, 9084.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[2.0, 9535.0]"
2152,NKqLTi5PSP375JuH2QjQFq3w22CRJvn5lS29Sw==,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1, 929.0]"
2153,in5fb37ikk0+JhK0Le70D+pkewAW+9KtOBXAjQ==,"[0, 0]","[1.0, 4096.0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 1235.0]","[2.0, 2906.0]","[1.0, 1479.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[2.0, 31317.0]","[0, 0]","[2.0, 2595.0]"
2154,L75woPXlYFTzoCP+CxoxxbGE2oYftTINMVsBCg==,"[0, 0]","[2.0, 22027.0]","[0, 0]","[1.0, 3964.0]","[0, 0]","[7.0, 79705.0]","[0, 0]","[1.0, 16855.0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 2922.0]","[0, 0]","[0, 0]","[0, 0]","[3.0, 38914.0]"
2155,D4cVPMl4xp4LzI6bRmngllTt/lebcyuib3Sbfg==,"[0, 0]","[0, 0]","[2.0, 1450.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 1563.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 587.0]","[0, 0]","[2.0, 3025.0]"
2156,r7fKGsbj0rBRy09/ML7JVo3Uzh4Ihvelzt2xAQ==,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 9987.0]","[5.0, 27502.0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 364.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[6.0, 27739.0]"
2157,IhbWwA2nwBs+pJ6n1L6oGMQGxGuUdqWrkYPyTA==,"[1.0, 11662.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[2.0, 8072.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 1228.0]","[0, 0]","[2.0, 14572.0]"
2158,2gpWjeHU5xoaYvurvss4YJdV4Tw5IU768WAcHA==,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 53540.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[2.0, 63076.0]"
